1612313,B' L D' B' D' F D F' B2 R' B' L' U F' U' B
1915343,B2 L2 D' R F2 R' D F L D B' L2 U' L' B' U' R'
97163,R' U' R2 U' B2 L F L2 B2 R' B2 D2 L' F D' L2 B2
1006253,U R2 U B' R B2 U F2 B' R2 F2 U' F R2 F2 R
1385281,F L2 F' U R2 U' F L2 F' U R2 U'
1688311,R U R' U2 F U F2 R' F' R F2 U' F' U2
2294371,F U L2 D R2 D B R2 D2 L U L F2 U' F
779221,F U2 F2 U2 F' L' D2 R B R B2 R2 D2 L U'
173161,R' L2 F' R F L2 U2 L2 D F D' F' L2 U2
476191,F U2 F2 U F' U F' R' F R L F2 L' U2 F U
1082251,D R' U2 R D' L2 D2 R' B R' B' D' F D' F' L2
1991341,U R' B2 L2 D L' D' F2 D F L D' L2 B2 R
1115921,R' U' R' F2 U2 F2 U F2 L' U L F2 R2
1418951,R' U B U' B' U2 B' R B R' U2 R' U' R2
2025011,F' R F B2 U L U' L' B' U' F' B' R' F
509861,B L2 F D2 F D B R D B2 L2 U' F'
2328041,U2 L2 F L' F U' L F2 L2 U R U R' U2
206831,F U' F L F' L' U2 R U' R' U F' U' F'
812891,F B U L' U' B' U' B L2 F' L' B'
1721981,U R L F' D2 L2 B L2 D2 L' F R2 F' R
577201,D2 L' B L D2 L F L' F' R2 U2 F U2 R2
880231,F' U2 L F' L' U' D' F' L' F L U D F U2 F
1486291,U' L F L' U' R U2 R' U R' L F2 R F L' U'
2395381,F' U2 L F' L2 U2 L F U' R2 L2 B D2 B' R2 L2
1789321,F U' L' U' F' B' L' U' L U F B L U2 F'
2092351,U' F2 U' F2 L2 B2 D2 L B2 U2 L2 F R L' F' U'
274171,U B L' D' L' B2 U B2 D F2 B' U' F' U' F'
1183261,U' R B' R2 B2 L' B L2 F' D2 L' B2 R F2
1924001,U F' U2 F U2 F D' L2 F' L2 F U L2 D
2227031,F' U2 L B2 U F U' F' B2 L2 U2 L F U'
408851,U2 F' U2 F R U2 R L D R D' R F L'
1317941,L' U' L U' F L' U' R U' R' L2 F' L' U'
711881,F' U F2 U' B' R F R F' R' F' D R D' F B
1014911,F' R U R2 D' F' D R F U F2 U' F U' F
1620971,U' L D' L D' R' B2 R D2 L' U F U' F' L'
105821,B' R' B U2 B' R F R' F' D F R' F' D' B U
2354977,R2 U2 F' U F U' R2 U2 R' L' U R' U' L U2
233767,U' R' B U B' R' U R' D L' B L D' R
839827,R2 U2 F R F' L F2 R' L' F' U' F U'
1748917,L2 D' B' D' B R2 D2 L' F' R L' B' R B R2 U'
1142857,U' D' L2 B2 U' D L' F' D F R2 F2 D' F L' F'
1445887,D2 R L' B R' L' U' B U' B L2 D2 R F2 R F2 U'
2051947,U' L2 D' B' L B' L' D2 R2 D' L2 U' F U2 F
536797,U2 R' U' R F R2 U2 R' U2 F' R F' R2 U2 R' F
2085617,U2 F2 R F2 R' F2 R' F U F2 U' F' U2
2388647,F' B U B L F' D2 L2 D' L B' U B' U' F2 R'
570467,R F2 R2 F2 U' B U2 B' R' F2 L' U2 L F U
1479557,D2 R' F' L' U L F U' R D' R' U F R' F' D'
873497,D' F B U2 F' U' B U L' B L2 D' B R2 D2
1176527,L2 F' D' L2 B2 U2 D' R' D L' B' D L2 F' U L'
1782587,U D' L D2 B R2 B2 R' D L' D2 F' R' F' U
267437,L U' F' L D R F D F D2 L2 B L2 F' L2
1546897,R2 U R2 U F2 L D2 F2 R2 F D' F D2 L' F2 R
1849927,R' U D L' B2 L2 B L' D' R B R2 U2 B' R2
31747,F2 L D2 R' U D2 F2 U' F' U F U' F' L'
940837,F U2 F' D' L' U L D2 R2 U' R U' R' U2 D' F
334777,L2 D R2 D B2 R B2 D2 L2 U F' U F2 R' F2 R
637807,B' D' R F2 U' R2 U2 F' U' B2 U' L' F' U L' B'
1243867,L F D2 R2 D' F D R2 D2 F R F2 L' U2 R2 U2
2152957,F U' L' U2 F' U' D2 R2 B R U' B' U B' D2 F'
469457,U R' F D2 L B2 L' D2 F' U F R' F' R U2
772487,U2 F' U2 L' B' L2 D2 R F' R' D2 L' F R U' R'
1378547,D2 R' B2 D' F' D' F L2 U L D' L D' B2 D2 F
2287637,F' U B U L2 F2 U2 F L' U2 F L2 F2 U2 B' U'
1681577,F' L F L' D B U F B2 R' F' R B R D' F
1984607,R U R' F' L' B' R' L2 D' L2 U2 R U' B U' L U2
166427,F' U' F U2 F' D R B U B' U' R U R' D' F'
